brand,event_month,cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate
australis,10.0,0,0,28,0.0,0.0,0.0
australis,11.0,0,0,45,0.0,0.0,0.0
australis,12.0,0,0,33,0.0,0.0,0.0
avene,1.0,94,19,477,0.1970649895178197,0.20212765957446807,0.039832285115303984
avene,2.0,121,21,959,0.1261730969760167,0.17355371900826447,0.021897810218978103
avene,12.0,27,6,98,0.2755102040816326,0.2222222222222222,0.061224489795918366
babyliss,1.0,77,10,1396,0.05515759312320917,0.12987012987012986,0.0071633237822349575
babyliss,2.0,91,22,1385,0.06570397111913358,0.24175824175824176,0.01588447653429603
babyliss,12.0,61,7,655,0.09312977099236641,0.11475409836065574,0.010687022900763359
balbcare,1.0,138,49,434,0.31797235023041476,0.35507246376811596,0.11290322580645161
balbcare,2.0,130,44,479,0.27139874739039666,0.3384615384615385,0.0918580375782881
balbcare,10.0,103,34,346,0.2976878612716763,0.3300970873786408,0.09826589595375723
balbcare,11.0,150,52,474,0.31645569620253167,0.3466666666666667,0.10970464135021098
balbcare,12.0,139,63,465,0.2989247311827957,0.45323741007194246,0.13548387096774195
barbie,2.0,0,0,1,0.0,0.0,0.0
barbie,10.0,4,0,7,0.5714285714285714,0.0,0.0
barbie,11.0,10,2,10,1.0,0.2,0.2
barbie,12.0,1,1,3,0.3333333333333333,1.0,0.3333333333333333
barex,1.0,84,22,390,0.2153846153846154,0.2619047619047619,0.05641025641025641
barex,2.0,94,24,453,0.20750551876379691,0.2553191489361702,0.052980132450331126
barex,12.0,72,24,323,0.22291021671826625,0.3333333333333333,0.07430340557275542
batiste,1.0,146,59,261,0.5593869731800766,0.4041095890410959,0.2260536398467433
batiste,2.0,174,54,277,0.628158844765343,0.3103448275862069,0.19494584837545126
batiste,10.0,170,60,298,0.5704697986577181,0.35294117647058826,0.20134228187919462
batiste,11.0,217,79,340,0.638235294117647,0.3640552995391705,0.2323529411764706
batiste,12.0,118,46,275,0.4290909090909091,0.3898305084745763,0.16727272727272727
beautific,1.0,100,18,814,0.12285012285012285,0.18,0.022113022113022112
beautific,2.0,55,11,534,0.10299625468164794,0.2,0.020599250936329586
beautific,12.0,23,3,115,0.2,0.13043478260869565,0.02608695652173913
beautix,1.0,1459,442,3357,0.43461423890378315,0.3029472241261138,0.13166517724158475
beautix,2.0,1548,434,3411,0.45382585751978893,0.28036175710594313,0.12723541483435943
beautix,10.0,1633,385,3545,0.46064880112834977,0.23576240048989588,0.10860366713681241
