brand,event_month,cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate
artex,11.0,1705,479,3038,0.5612244897959183,0.2809384164222874,0.1576695194206715
artex,12.0,960,243,2251,0.4264771212794314,0.253125,0.10795202132385606
aura,1.0,70,23,135,0.5185185185185185,0.32857142857142857,0.17037037037037037
aura,2.0,55,12,143,0.38461538461538464,0.21818181818181817,0.08391608391608392
aura,10.0,79,15,115,0.6869565217391305,0.189873417721519,0.13043478260869565
aura,11.0,74,22,115,0.6434782608695652,0.2972972972972973,0.19130434782608696
aura,12.0,47,12,138,0.34057971014492755,0.2553191489361702,0.08695652173913043
australis,1.0,0,0,34,0.0,0.0,0.0
australis,2.0,0,0,22,0.0,0.0,0.0
australis,10.0,0,0,32,0.0,0.0,0.0
australis,11.0,0,0,55,0.0,0.0,0.0
australis,12.0,0,0,37,0.0,0.0,0.0
avene,1.0,205,27,900,0.22777777777777777,0.13170731707317074,0.03
avene,2.0,234,26,1694,0.1381345926800472,0.1111111111111111,0.015348288075560802
avene,12.0,47,6,142,0.33098591549295775,0.1276595744680851,0.04225352112676056
babyliss,1.0,109,11,2284,0.047723292469352016,0.10091743119266056,0.004816112084063047
babyliss,2.0,149,24,2382,0.06255247691015953,0.1610738255033557,0.010075566750629723
babyliss,12.0,97,8,1085,0.08940092165898618,0.08247422680412371,0.007373271889400922
balbcare,1.0,466,71,685,0.6802919708029197,0.15236051502145923,0.10364963503649635
balbcare,2.0,449,57,734,0.611716621253406,0.12694877505567928,0.0776566757493188
balbcare,10.0,374,49,509,0.7347740667976425,0.13101604278074866,0.0962671905697446
balbcare,11.0,613,69,740,0.8283783783783784,0.11256117455138662,0.09324324324324325
balbcare,12.0,598,100,738,0.8102981029810298,0.16722408026755853,0.13550135501355012
barbie,2.0,0,0,1,0.0,0.0,0.0
barbie,10.0,8,0,9,0.8888888888888888,0.0,0.0
barbie,11.0,11,3,11,1.0,0.2727272727272727,0.2727272727272727
barbie,12.0,2,1,5,0.4,0.5,0.2
barex,1.0,142,29,712,0.199438202247191,0.20422535211267606,0.04073033707865169
barex,2.0,184,34,742,0.24797843665768193,0.18478260869565216,0.04582210242587601
barex,12.0,132,36,570,0.23157894736842105,0.2727272727272727,0.06315789473684211
batiste,1.0,220,73,408,0.5392156862745098,0.33181818181818185,0.17892156862745098
batiste,2.0,268,62,462,0.5800865800865801,0.23134328358208955,0.1341991341991342
batiste,10.0,282,76,446,0.6322869955156951,0.2695035460992908,0.17040358744394618
batiste,11.0,312,90,558,0.5591397849462365,0.28846153846153844,0.16129032258064516
batiste,12.0,175,50,427,0.4098360655737705,0.2857142857142857,0.117096018735363
beautific,1.0,169,23,1181,0.14309906858594412,0.13609467455621302,0.01947502116850127
beautific,2.0,98,24,757,0.12945838837516513,0.24489795918367346,0.031704095112285335
beautific,12.0,42,3,175,0.24,0.07142857142857142,0.017142857142857144
beautix,1.0,5219,898,9403,0.5550356269275764,0.17206361371910328,0.09550143571200681
beautix,2.0,7037,1213,11547,0.6094223607863515,0.17237459144521813,0.10504893045812765
beautix,10.0,5512,849,9315,0.5917337627482555,0.15402757619738752,0.09114331723027375
beautix,11.0,5145,992,9950,0.5170854271356784,0.19280855199222546,0.09969849246231156
beautix,12.0,3517,761,7177,0.4900376201755608,0.21637759454080183,0.10603316148808695
beauty-free,1.0,1850,272,2637,0.701554797117937,0.14702702702702702,0.1031475161167994
beauty-free,2.0,1752,315,2488,0.7041800643086816,0.1797945205479452,0.12660771704180065
beauty-free,10.0,2002,211,2075,0.9648192771084337,0.10539460539460539,0.10168674698795181
beauty-free,11.0,2990,635,3995,0.7484355444305382,0.21237458193979933,0.15894868585732166
beauty-free,12.0,955,178,1440,0.6631944444444444,0.18638743455497384,0.12361111111111112
beautyblender,1.0,25,8,245,0.10204081632653061,0.32,0.0326530612244898
beautyblender,2.0,31,3,228,0.13596491228070176,0.0967741935483871,0.013157894736842105
beautyblender,10.0,91,3,178,0.5112359550561798,0.03296703296703297,0.016853932584269662
beautyblender,11.0,26,5,203,0.12807881773399016,0.19230769230769232,0.024630541871921183
beautyblender,12.0,17,2,165,0.10303030303030303,0.11764705882352941,0.012121212121212121
beauugreen,1.0,70,17,304,0.23026315789473684,0.24285714285714285,0.05592105263157895
beauugreen,2.0,87,22,262,0.3320610687022901,0.25287356321839083,0.08396946564885496
beauugreen,10.0,158,24,484,0.32644628099173556,0.1518987341772152,0.049586776859504134
beauugreen,11.0,170,44,657,0.258751902587519,0.25882352941176473,0.0669710806697108
beauugreen,12.0,109,26,377,0.2891246684350133,0.23853211009174313,0.06896551724137931
benovy,1.0,2091,691,2325,0.8993548387096775,0.33046389287422284,0.2972043010752688
benovy,2.0,2054,586,2628,0.7815829528158296,0.28529698149951316,0.22298325722983256
benovy,10.0,203,55,300,0.6766666666666666,0.270935960591133,0.18333333333333332
benovy,11.0,1399,465,1359,1.0294334069168507,0.33238027162258754,0.34216335540838855
benovy,12.0,1232,382,1258,0.9793322734499205,0.31006493506493504,0.3036565977742448
bergamo,1.0,93,19,183,0.5081967213114754,0.20430107526881722,0.10382513661202186
