brand,cart_count,remove_count,purchase_count,cart_remove_rate,purchase_rate_from_cart
tosowoong,45,17,11,0.37777777777777777,0.24444444444444444
treaclemoon,1136,691,231,0.608274647887324,0.20334507042253522
trind,1097,607,266,0.5533272561531449,0.24247948951686418
uno,67334,44229,17586,0.6568598330709597,0.2611756319244364
uralsoap,0,0,0,0.0,0.0
uskusi,29160,26091,5708,0.894753086419753,0.19574759945130316
veraclara,451,175,103,0.38802660753880264,0.22838137472283815
vichy,183,171,26,0.9344262295081968,0.14207650273224043
vilenta,1609,1182,333,0.7346177750155376,0.2069608452454941
vl-gel,0,0,0,0.0,0.0
voesh,0,0,0,0.0,0.0
vosev,263,109,39,0.4144486692015209,0.1482889733840304
weaver,42,10,6,0.23809523809523808,0.14285714285714285
yllozure,975,723,202,0.7415384615384616,0.20717948717948717
yoko,26338,15406,6628,0.5849343154377705,0.25165160604449843
ypsed,475,134,91,0.28210526315789475,0.19157894736842104
yu-r,263,81,61,0.30798479087452474,0.23193916349809887
zab,39,14,0,0.358974358974359,0.0
zeitun,2997,1857,558,0.6196196196196196,0.18618618618618618
zinger,35713,20074,9022,0.5620922353204716,0.25262509450340215
